% date:  mmdd
% assID: short code representing an action (F1a, tkn)
% lname:  student last name or last name + initial; must be a unique ID
% grade: grade earned on assessment, or token increment
% section = M150F20 section 01
date,assID,lname,grade
1008,L2a,simpson,S
0903,F1a,simpson,I
0915,F2a1,simpson,I
0916,L1a,simpson,S
1023,D1a,simpson,I
1011,F2b,simpson,I
1005,F1b,simpson,I
0902,F1a,nahasapeemapetilon,I
0902,F2a,nahasapeemapetilon,I
0902,F3a,nahasapeemapetilon,I
1027,L2b,gumble,S
0916,F1a,gumble,S
1005,F2a,gumble,S
1005,F3a,gumble,S
1010,L1a,gumble,S
0916,F1a,escobar,I
1021,D1a,wiggum,E
1023,D2a,wiggum,I
1029,D3a,wiggum,S
1031,D4a,wiggum,I
1011,F1a,wiggum,S
1014,F2a,wiggum,S
1016,F3a,wiggum,I
1023,L1a,wiggum,S
1106,L2a,wiggum,I
0916,F1a,largo,I
0902,F1a,krabappel,S
0914,F2,krabappel,S
0921,F3a,krabappel,S
1103,D1a,krabappel,I
0930,L1a,krabappel,I
1007,L2a,krabappel,I
1109,D2a,krabappel,I
0905,F1a,powell,I
0905,F1a1,powell,I
0905,F3a,powell,I
0908,F1a,beardley,S
0916,F2b,beardley,I
0916,F1a,brockman,S
1105,F3a,brockman,S
1101,F2a,brockman,S
0831,F1a,clown,S
0831,F2a,clown,S
0904,F1a1,clown,S
0904,F3a,clown,S
0914,L1a,clown,S
0916,L2a,clown,S
0921,L3a,clown,S
1011,D1a,clown,E
1024,D2a,clown,I
1030,D3a,clown,S
1030,D4a,clown,S
1107,D5a,clown,S
1009,F1a,leonard,S
1010,F2a,leonard,I
1010,F3a,leonard,S
1028,L1a,leonard,S
1104,L2a,leonard,S
1020,D1a,prince,S
1031,D4a,prince,S
1011,F1a,prince,I
1011,F2a,prince,I
1016,L1a,prince,I
1016,L2a,prince,I
1015,F1a,monroe,I
1102,F2a,monroe,I
0908,F1a,van-houten,I
0908,F1a1,van-houten,I
0914,F3a,van-houten,S
0930,F1b,van-houten,S
1102,D1a,van-houten,I
0930,F1b,van-houten,S
1017,F2b,van-houten,S
1017,L1a,van-houten,I
1011,L1a,van-houten,I
